数据集,采样率,点数,LDR(bits/点),三预测器(bits/点),差异(bits),差异(%),胜者,量化数据(bits/点),标志位占比(%)
Geolife,原始 (1/1),100000,7.18,7.53,0.35,4.9,LDR,6.15,18.2
Geolife,1/5,20000,15.37,14.8,-0.57,-3.7,三预测器,13.43,9.0
Geolife,1/10,10000,19.47,18.57,-0.9,-4.6,三预测器,17.2,7.0
Geolife,1/20,5000,23.88,22.75,-1.13,-4.7,三预测器,21.62,5.7
Geolife,1/40,2500,28.24,26.64,-1.6,-5.7,三预测器,25.04,4.9
Track,原始 (1/1),63530,6.26,7.11,0.85,13.6,LDR,5.9,17.1
Track,1/5,12706,12.97,12.61,-0.36,-2.8,三预测器,11.39,9.7
Track,1/10,6353,18.22,17.18,-1.04,-5.7,三预测器,15.96,7.1
Track,1/20,3177,23.95,22.75,-1.2,-5.0,三预测器,21.55,5.4
Track,1/40,1589,28.98,28.04,-0.94,-3.2,三预测器,26.82,4.4
